name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Recreation and Parks Properties
Drinking Fountain/Cooler,2906746747408755699,drinking_water,1,1,0,0,37.74195621,-122.46517039000001,,San Francisco,CA,,West Portal Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.46517039 37.741956211),7,West of Twin Peaks,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,46,10,8,41,223
Herz Playground Clubhouse,7366075405665591286,restroom,0,0,0,0,37.71394326427549,-122.41637790217736,1701 Visitacion Ave,San Francisco,CA,94134,Herz Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.416377902 37.713943264),10,McLaren Park,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,73,9,9,19,15
Moscone Rec Center,4678029647536132904,restroom,0,0,0,0,37.801484546132755,-122.43318577042552,1800 Chestnut St,San Francisco,CA,94123,Moscone Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43318577 37.801484546),2,Marina,2024/08/13 05:16:30 PM,2024/10/10 10:40:59 AM,17,4,6,13,135
Mendell Plaza,1583894823483341905,drinking_water,0,1,1,0,37.734648,-122.390524,1425 Mendell St,San Francisco,CA,94124,,publicly_accessible,,,Daily,,puc,POINT (-122.390524 37.734648),10,Bayview Hunters Point,2024/06/27 01:43:12 PM,2024/10/10 10:40:59 AM,86,2,9,1,
Golden Gate Park - Section 6 - Drinking Fountain/Cooler,2279428380184152431,drinking_water,1,1,0,0,37.766804140000005,-122.50818661,Golden Gate Park,San Francisco,CA,94132,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.508186612 37.766804143),4,Golden Gate Park,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,9,8,4,12,234
Alta Plaza Park - Drinking Fountain/Cooler,3702859510335813216,drinking_water,1,0,0,0,37.79123999,-122.43819734,2501 Jackson St,San Francisco,CA,94115,Alta Plaza Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.438197344 37.791239987),2,Pacific Heights,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,102,4,6,30,149
Hilltop Park,5266853380894405697,drinking_water,0,1,1,0,37.73328,-122.38366,45 Progress St,San Francisco,CA,94124,,publicly_accessible,,,Daily,,puc,POINT (-122.38366 37.73328),10,Bayview Hunters Point,2024/06/27 01:43:12 PM,2024/10/10 10:40:59 AM,86,2,9,1,
Golden Gate Park - Section 5 - Drinking Fountain/Cooler,9080728227449818557,drinking_water,1,0,0,0,37.77055697,-122.48014119,Golden Gate Park,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.480141186 37.770556975),1,Golden Gate Park,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,9,8,4,12,232
Garfield Path Drinking Fountain,2067076247063779095,drinking_water,1,1,0,0,37.75012374000001,-122.41247426000001,,San Francisco,CA,,Garfield Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.412474261 37.750123743),9,Mission,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,53,3,2,20,165
Main Library,1845349341306362846,drinking_water,1,0,0,0,37.779081776000055,-122.41615205,100 Larkin St,San Francisco,CA,94102,,limited_access,,,Daily,"opening_hours = [""Sunday:12:00-18:00"",""Monday:09:00-18:00"",""Tuesday:09:00-20:00"",""Wednesday:09:00-20:00"",""Thursday:09:00-20:00"",""Friday:12:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:62""]",library,POINT (-122.41615205 37.779081776),5,Tenderloin,2024/10/10 10:24:00 AM,2024/10/10 10:40:59 AM,21,5,10,36,
Outer Sunset Pit Stop - Judah and La Playa streets (Rec Park),6773564667651549547,restroom,0,0,0,0,37.7603081,-122.5091618,Judah and La Playa streets (Rec Park),San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.5091618 37.7603081),4,Sunset/Parkside,2024/10/10 10:39:51 AM,2024/10/10 10:40:59 AM,39,10,7,35,
Duboce Park - Drinking Fountain/Cooler,8941845549837929355,drinking_water,1,1,0,0,37.769413269999994,-122.43349092000001,50 Scott St,San Francisco,CA,94117,Duboce Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.433490923 37.769413267),8,Haight Ashbury,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,28,7,5,3,159
Golden Gate Park - Section 4 - Drinking Fountain/Cooler,3269707223120980721,drinking_water,1,0,0,0,37.77201682,-122.47114772,501 Stanyan St,San Francisco,CA,94118,Golden Gate Park - Section 4,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.471147723 37.772016818),1,Golden Gate Park,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,9,8,4,12,232
Golden Gate Park - Section 1 - Drinking Fountain/Cooler,5639541939548623490,drinking_water,1,0,0,0,37.76699113,-122.45332948,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 1,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.453329484 37.766991134),5,Golden Gate Park,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,9,7,11,12,229
Portsmouth Square - Drinking Fountain/Cooler,4984182183816938138,drinking_water,1,0,0,0,37.79508448,-122.40538466,745 Kearny St,San Francisco,CA,94108,Portsmouth Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.40538466 37.795084477),3,Chinatown,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,104,6,3,6,127
Restrooms,9096184556236417838,restroom,0,0,0,0,37.751489051685674,-122.43921687699716,780 Douglass St,San Francisco,CA,94114,Noe Valley Courts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.439216877 37.751489052),8,Noe Valley,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,51,3,5,22,132
Marina Green East Restroom,2159070112314827563,restroom,0,0,0,0,37.80648339185096,-122.43453399335982,1 Marina Green Dr,San Francisco,CA,94123,Yacht Harbor and Marina Green,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.434533993 37.806483392),2,Marina,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,17,4,6,13,90
Corona Heights Park - Drinking Fountain/Cooler,832500137318315438,drinking_water,1,0,0,0,37.76530769,-122.44027742,122 States St,San Francisco,CA,94114,Corona Heights Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.44027742 37.765307694),8,Castro/Upper Market,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,113,7,5,5,202
Drinking fountain,4236494391971030314,drinking_water,1,1,0,0,37.770929679999995,-122.47696559,,San Francisco,CA,,Golden Gate Park - Section 4,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.476965586 37.770929679),7,Golden Gate Park,2024/09/11 02:38:36 PM,2024/10/10 10:40:59 AM,9,8,4,12,232
South Beach Harbor,5535662967239792186,drinking_water,1,1,0,1,37.7803467,-122.3877,Pier 40A The Embarcadero,San Francisco,CA,94107,,publicly_accessible,,,Daily,Outside of playground,port,POINT (-122.3877 37.7803467),6,Mission Bay,2024/10/04 01:51:23 PM,2024/10/10 10:40:59 AM,31,1,10,4,
Midtown Terrace Clubhouse,2914129059992107756,restroom,0,0,0,0,37.75167265818647,-122.45588190223849,210 Olympia Way,San Francisco,CA,94131,Midtown Terrace Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455881902 37.751672658),7,Twin Peaks,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,48,7,8,38,61
Midtown Terrace Playground - Drinking Fountain/Cooler,1362769676768370106,drinking_water,1,0,0,0,37.75167229,-122.45583377999999,210 Olympia Way,San Francisco,CA,94131,Midtown Terrace Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455833784 37.751672289),7,Twin Peaks,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,48,7,8,38,61
